"State","Region","Primary","Secondary","Tertiary"
"Alabama","South","Marijuana/hashish","Marijuana/hashish","Marijuana/hashish"
"Alaska","West","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Arizona","West","Alcohol","Methamphetamine/speed","Marijuana/hashish"
"Arkansas","South","Methamphetamine/speed","Marijuana/hashish","Marijuana/hashish"
"California","West","Methamphetamine/speed","Methamphetamine/speed",NA
"Colorado","West","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Connecticut","Northeast","Alcohol","Cocaine/crack","Marijuana/hashish"
"Delaware","South","Heroin","Cocaine/crack","Marijuana/hashish"
"District of Columbia","South","Alcohol","Cocaine/crack","Marijuana/hashish"
"Florida","South","Alcohol","Cocaine/crack","Marijuana/hashish"
"Georgia","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Hawaii","West","Methamphetamine/speed","Marijuana/hashish","Alcohol"
"Idaho","West","Methamphetamine/speed","Marijuana/hashish","Marijuana/hashish"
"Illinois","Midwest","Heroin","Cocaine/crack","Marijuana/hashish"
"Indiana","Midwest","Alcohol","Marijuana/hashish","Other drugs"
"Iowa","Midwest","Alcohol","Marijuana/hashish","Alcohol"
"Kansas","Midwest","Methamphetamine/speed","Marijuana/hashish","Alcohol"
"Kentucky","South","Heroin","Marijuana/hashish","Marijuana/hashish"
"Louisiana","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Maine","Northeast","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Maryland","South","Heroin","Cocaine/crack","Marijuana/hashish"
"Massachusetts","Northeast","Heroin","Cocaine/crack","Cocaine/crack"
"Michigan","Midwest","Alcohol","Cocaine/crack","Marijuana/hashish"
"Minnesota","Midwest","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Mississippi","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Missouri","Midwest","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Montana","West","Alcohol","Marijuana/hashish","Alcohol"
"Nebraska","Midwest","Alcohol","Marijuana/hashish","Alcohol"
"Nevada","West","Methamphetamine/speed","Marijuana/hashish","Marijuana/hashish"
"New Hampshire","Northeast","Heroin","Cocaine/crack","Marijuana/hashish"
"New Jersey","Northeast","Heroin","Cocaine/crack","Marijuana/hashish"
"New Mexico","West","Alcohol","Methamphetamine/speed","Alcohol"
"New York","Northeast","Alcohol","Cocaine/crack","Marijuana/hashish"
"North Carolina","South","Marijuana/hashish","Marijuana/hashish","Marijuana/hashish"
"North Dakota","Midwest","Methamphetamine/speed","Marijuana/hashish","Marijuana/hashish"
"Ohio","Midwest","Heroin","Marijuana/hashish","Marijuana/hashish"
"Oklahoma","South","Methamphetamine/speed","Marijuana/hashish","Marijuana/hashish"
"Pennsylvania","Northeast","Heroin","Marijuana/hashish","Marijuana/hashish"
"Rhode Island","Northeast","Alcohol","Cocaine/crack","Cocaine/crack"
"South Carolina","South","Alcohol","Marijuana/hashish","Other drugs"
"South Dakota","Midwest","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Tennessee","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Texas","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Utah","West","Methamphetamine/speed","Methamphetamine/speed","Marijuana/hashish"
"Vermont","Northeast","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Virginia","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Washington","West","Alcohol","Methamphetamine/speed","Marijuana/hashish"
"West Virginia","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Wisconsin","Midwest","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Wyoming","West","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Midwest","Midwest","Alcohol","Marijuana/hashish","Marijuana/hashish"
"Northeast","Northeast","Alcohol","Cocaine/crack","Marijuana/hashish"
"South","South","Heroin","Cocaine/crack","Marijuana/hashish"
"West","West","Alcohol","Methamphetamine/speed","Marijuana/hashish"
"US","Midwest","Alcohol","Marijuana/hashish","Marijuana/hashish"
"US","West","Alcohol","Marijuana/hashish","Marijuana/hashish"
"US","South","Alcohol","Marijuana/hashish","Marijuana/hashish"
"US","Northeast","Alcohol","Marijuana/hashish","Marijuana/hashish"
